id,name,energy_score,brightness,eye_openness,motion,frames,time_range_start,time_range_end,avg_match_confidence,avg_track_confidence,verdict
SM_P0001,UNKNOWN_001,50.07,34.31,50.43,65.53,8,0,35,0.0,0.7,MEDIUM
SM_P0002,UNKNOWN_002,44.55,35.06,50.0,49.37,7,95,130,0.0,0.655,MEDIUM
