id,name,energy_score,brightness,eye_openness,motion,frames,time_range_start,time_range_end,avg_match_confidence,avg_track_confidence,verdict
SM_P0001,UNKNOWN_001,58.26,41.47,43.25,87.93,3,45,65,0.0,0.533,MEDIUM
SM_P0002,UNKNOWN_002,49.82,43.7,50.0,55.79,1,90,90,0.0,0.55,MEDIUM
